id,title,description,preconditions,postconditions,tags,priority,severity,type,behavior,automation,status,is_flaky,layer,steps_type,steps_actions,steps_result,steps_data,milestone_id,milestone,suite_id,suite_parent_id,suite,suite_without_cases
,,,,,,,,,,,,,,,,,,,,9,1,"Testing Documentation Galina Fedina",1
92,"Add Customer: Click on the logo on the initial page reloads the page",,"Open the page https://demo.guru99.com/telecom/index.html",,,low,minor,functional,positive,is-not-automated,actual,no,unknown,classic,"1. Click the button 'Guru99Telecom' in the header
","1. The page will be reloaded
","1. 
",,,9,1,"Testing Documentation Galina Fedina",
93,"Add Customer: Click the hamburger-menu opens menu with active buttons",,"open the page https://demo.guru99.com/telecom/index.html",,,medium,normal,functional,positive,is-not-automated,actual,no,unknown,classic,"1. Click on the hamburger-menu
","1. Click the hamburger-menu opens the active buttons
","1. 
",,,9,1,"Testing Documentation Galina Fedina",
94,"Add Customer: Click the button 'Add Customer' via hamburger menu opens the relevant page",,"Open the link https://demo.guru99.com/telecom/index.html",,,high,major,functional,positive,is-not-automated,actual,no,unknown,classic,"1. Click the hamburger menu
2. Click the button 'Add Customer'
","1. It opens the active buttons
2. The button 'Add Customer' opens the relevant page
","1. 
2. 
",,,9,1,"Testing Documentation Galina Fedina",
95,"Add Customer: Background Check",,"Open the link https://demo.guru99.com/telecom/addcustomer.php",,,low,trivial,functional,positive,is-not-automated,actual,no,unknown,classic,"1. Click on radio buttons in Background Check
","1. Only one button will be available for choosing
","1. 
",,,9,1,"Testing Documentation Galina Fedina",
96,"Add Customer: First Name (Latin letters, unrestricted quantity of symbols)",,"Open the link https://demo.guru99.com/telecom/addcustomer.php",,,high,undefined,functional,positive,is-not-automated,actual,no,unknown,classic,"1. Input only Latin letters into the field ""FirstName""
","1. The name is correct
","1. 
",,,9,1,"Testing Documentation Galina Fedina",
97,"Add Customer: First name (numbers, unrestricted quantity of symbols)",,"Open the link https://demo.guru99.com/telecom/addcustomer.php",,,medium,undefined,functional,positive,is-not-automated,actual,no,unknown,classic,"1. Input numbers into the field FirstName
","1. The message ""Numbers are not allowed"" is presented
","1. 
",,,9,1,"Testing Documentation Galina Fedina",
98,"Add Customer: First name (special characters, unrestricted quantity of symbols)",,"Open the link https://demo.guru99.com/telecom/addcustomer.php",,,medium,major,functional,positive,is-not-automated,actual,no,unknown,classic,"1. Input special characters into the field FirstName
","1. The message ""Special characters are not allowed"" is presented
","1. 
",,,9,1,"Testing Documentation Galina Fedina",
99,"Add Customer: Click the button 'add customer' on the initial page opens the relevant page",,"Open the link https://demo.guru99.com/telecom/index.html",,,high,undefined,functional,positive,is-not-automated,actual,no,unknown,classic,"1. Click the button 'add customer' on the initial page
","1. The button opens the relevant page
","1. 
",,,9,1,"Testing Documentation Galina Fedina",
100,"Add Customer: First name (Cyrillic letters, unrestricted quantity of symbols)",,"Open the link https://demo.guru99.com/telecom/addcustomer.php",,,medium,undefined,functional,negative,is-not-automated,actual,no,unknown,classic,"1. Input Cyrillic letters into the field FirstName
","1. The message 'Cyrillic are not allowed' is presented
","1. 
",,,9,1,"Testing Documentation Galina Fedina",
101,"Add Customer: First name (numbers+Latin letters+special characters; unrestricted quantity of symbols)",,"Open the link",,,medium,undefined,functional,positive,is-not-automated,actual,no,unknown,classic,"1. Input numbers+Latin letters+special characters into the field FirstName
","1. Special characters are not allowed
","1. 
",,,9,1,"Testing Documentation Galina Fedina",
102,"Add Customer: The message 'Customer name must not be blank' is presented when 'First name' is empty",,"Open the link https://demo.guru99.com/telecom/addcustomer.php",,,medium,undefined,other,positive,is-not-automated,actual,no,unknown,classic,"1. Do not input any symbols into the field FirstName
","1. The message 'Customer name must not be blank' is presented
","1. 
",,,9,1,"Testing Documentation Galina Fedina",
103,"Add Customer: GUI testing - below all fields on the page 'Add Customer' must be special symbol '*'",,"Open the link https://demo.guru99.com/telecom/addcustomer.php",,,low,undefined,functional,undefined,is-not-automated,actual,no,unknown,classic,"1. Open the page 'Add Customer'
","1. Below all fields on the page 'Add Customer' must be special symbol '\*'
","1. 
",,,9,1,"Testing Documentation Galina Fedina",
